combo,entry_time,exit_time,side,entry_price,exit_price,pnl_bps,reason,btc_trend
BTC_1h_EMA20/100,2024-04-02 07:45:00,2024-04-02 11:15:00,SHORT,0.5994,0.5812026014971132,303.59356861673035,TP,DOWN
BTC_1h_EMA20/100,2024-04-02 15:45:00,2024-04-03 00:30:00,SHORT,0.5887,0.5703186350683207,312.2365369743384,TP,DOWN
BTC_1h_EMA20/100,2024-04-03 03:15:00,2024-04-04 04:15:00,SHORT,0.5831,0.5651038310089825,308.62920581405274,TP,DOWN
BTC_1h_EMA20/100,2024-04-04 06:15:00,2024-04-04 08:15:00,SHORT,0.5701,0.5792900929982632,-161.2014207729016,SL,DOWN
BTC_1h_EMA20/100,2024-04-04 11:15:00,2024-04-04 13:00:00,SHORT,0.575,0.5834998932729,-147.82423083304377,SL,DOWN
BTC_1h_EMA20/100,2024-04-04 20:00:00,2024-04-05 02:45:00,SHORT,0.5966,0.5791734514334187,292.0976963892277,TP,DOWN
BTC_1h_EMA20/100,2024-04-08 21:15:00,2024-04-09 01:00:00,LONG,0.6227,0.6136723595792353,-144.97575751990942,SL,UP
BTC_1h_EMA20/100,2024-04-09 03:15:00,2024-04-09 07:45:00,LONG,0.6168,0.6087090013804686,-131.17702042041896,SL,UP
BTC_1h_EMA20/100,2024-04-09 11:15:00,2024-04-09 12:00:00,LONG,0.6166,0.6299842521851634,217.06539385603907,TP,UP
BTC_1h_EMA20/100,2024-04-09 16:00:00,2024-04-10 01:00:00,LONG,0.6226,0.6096131878928314,-208.58997923496108,SL,UP
BTC_1h_EMA20/100,2024-04-13 06:00:00,2024-04-13 17:15:00,SHORT,0.544,0.5186336329499598,466.29351194926926,TP,DOWN
BTC_1h_EMA20/100,2024-04-13 23:30:00,2024-04-14 23:15:00,SHORT,0.4772,0.5066951655172631,-618.0881290289839,SL,DOWN
BTC_1h_EMA20/100,2024-04-15 02:45:00,2024-04-15 06:30:00,SHORT,0.4959,0.5128531461744403,-341.8662265464877,SL,DOWN
BTC_1h_EMA20/100,2024-04-15 11:45:00,2024-04-15 15:00:00,SHORT,0.5121,0.4907680295664308,416.55868841181825,TP,DOWN
BTC_1h_EMA20/100,2024-04-15 20:45:00,2024-04-17 16:00:00,SHORT,0.4954,0.4717304839028753,477.7859527074021,TP,DOWN
BTC_1h_EMA20/100,2024-04-22 12:15:00,2024-04-22 16:45:00,LONG,0.5332,0.5442656560290314,207.53293377778363,TP,UP
BTC_1h_EMA20/100,2024-04-23 01:00:00,2024-04-23 04:45:00,LONG,0.5558,0.54572903322727,-181.19767493216997,SL,UP
BTC_1h_EMA20/100,2024-04-23 13:45:00,2024-04-24 13:30:00,LONG,0.5452,0.5371503368485568,-147.6460592707846,SL,UP
BTC_1h_EMA20/100,2024-04-24 18:30:00,2024-04-24 22:45:00,LONG,0.5346,0.5263212712490338,-154.85837543894755,SL,UP
BTC_1h_EMA20/100,2024-04-27 04:45:00,2024-04-29 03:00:00,SHORT,0.519,0.5064152954648304,242.47985616897066,TP,DOWN
BTC_1h_EMA20/100,2024-04-29 12:00:00,2024-04-29 14:15:00,SHORT,0.5055,0.5118622054877489,-125.85965356575484,SL,DOWN
BTC_1h_EMA20/100,2024-04-29 21:15:00,2024-04-30 00:45:00,SHORT,0.5131,0.5194294666237127,-123.35736939607676,SL,DOWN
BTC_1h_EMA20/100,2024-04-30 22:00:00,2024-05-01 08:15:00,SHORT,0.4969,0.48314852002445263,276.74542112190335,TP,DOWN
BTC_1h_EMA20/100,2024-05-01 11:30:00,2024-05-01 16:00:00,SHORT,0.4924,0.5018006633685607,-190.91517807799875,SL,DOWN
BTC_1h_EMA20/100,2024-05-02 01:45:00,2024-05-02 18:00:00,SHORT,0.5135,0.5233942012318115,-192.6816208726681,SL,DOWN
BTC_1h_EMA20/100,2024-05-02 21:00:00,2024-05-03 19:30:00,SHORT,0.5208,0.5283381664362302,-144.74205906739968,SL,DOWN
BTC_1h_EMA20/100,2024-05-04 05:00:00,2024-05-04 12:45:00,LONG,0.5297,0.5384072674750188,164.38111147855054,TP,UP
BTC_1h_EMA20/100,2024-05-04 17:00:00,2024-05-04 21:30:00,LONG,0.5351,0.5294509189491846,-105.5705671989424,SL,UP
BTC_1h_EMA20/100,2024-05-05 06:30:00,2024-05-06 04:30:00,LONG,0.5276,0.5349291579194859,138.91504775371425,TP,UP
BTC_1h_EMA20/100,2024-05-06 15:45:00,2024-05-06 15:45:00,LONG,0.5343,0.5450052538609254,200.36035674574876,TP,UP
